# Document	Unpolish + Polish	Further Polish
00000001-A-1-X-4.txt	22N-02	22N-10
00000002-A-1-X-8.txt	22N-05	22N-10
00000020-A-2-X-8.txt	22N-05	22N-10
00000027-A-3-X-8.txt	22N-03	22N-10
00000032-A-4-X-7.txt	22N-03	22N-10
00000046-A-4-X-8.txt	22N-03	22N-10
00000069-B-1-X-8.txt	21N-06	21N-10
00000074-B-1-X-9.txt	21N-06	21N-08
00000082-B-2-X-8.txt	21N-06	21N-08
00000088-B-2-X-9.txt	21N-06	21N-08
00000103-B-3-X-8.txt	21N-06	21N-08
00000109-B-3-X-9.txt	21N-06	21N-08
00000117-B-4-X-8.txt	21N-06	21N-05
00000124-B-4-X-9.txt	21N-06	21N-05
00000140-B-5-X-8.txt	21N-06	21N-05
00000150-C-1-X-8.txt	21R-05	21R-08
00000151-C-10-X-19.txt	22N-03	22N-10
00000155-C-10-X-8.txt	22N-09	22N-10
00000164-C-2-X-8.txt	21R-01	21R-09
00000189-C-3-X-8.txt	21R-05	21R-08
00000198-C-4-X-14.txt	21R-02	21R-10
00000229-C-4-X-19.txt	21R-02	21R-10
00000239-C-4-X-8.txt	21R-02	21R-10
00000248-C-5-X-14.txt	21R-04	21R-09
00000258-C-5-X-17.txt	21R-04	21R-09
00000284-C-5-X-8.txt	21R-03	21R-08
00000302-C-6-X-14.txt	21R-02	21R-10
00000310-C-6-X-19.txt	21R-02	21R-10
00000335-C-6-X-8.txt	21R-09	21R-10
00000340-C-7-X-18.txt	21R-09	21R-10
00000341-C-7-X-19.txt	21R-05	21R-08
00000364-C-7-X-8.txt	21R-09	21R-10
00000366-C-8-X-13.txt	22N-01	22N-10
00000373-C-8-X-19.txt	22N-01	22N-10
00000387-C-8-X-8.txt	22N-01	22N-10
00000399-C-9-X-8.txt	21R-01	21R-09
00000407-B-5-X-11.txt	21N-06	21N-05
00000450-B-5-X-13.txt	22U-06	22U-10
00000465-B-1-X-13.txt	22U-06	22U-10
00000467-A-4-X-13.txt	22N-01	22N-10
00000470-B-1-X-19.txt	21N-04	21N-05
00000474-C-4-X-13.txt	21R-02	21R-10
00000493-C-5-X-19.txt	21R-03	21R-08
00000496-C-1-X-19.txt	21R-02	21R-10
00000497-C-2-X-19.txt	21R-01	21R-09
00000500-C-10-X-13.txt	22N-01	22N-10
